anio,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),82,82.0,4,1601,Primer Ciclo 2016,,13001,1,24,1,1ra. convocatoria
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),88,88.0,4,1601,Primer Ciclo 2016,,13001,1,24,1,1ra. convocatoria
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21207,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS (11001),85,85.0,2,1601,Primer Ciclo 2016,INFORMÁTICA (INGENIERÍA APLICADA),13001,1,2,1,1ra. convocatoria
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20995,INTRODUCCION A LA PROGRAMACION (11001),76,76.0,6,1601,Primer Ciclo 2016,PROGRAMACIÓN (CIENCIAS DE INGENIERIA),13001,1,2,1,1ra. convocatoria
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20987,MATEMATICA I (11001),82,82.0,6,1601,Primer Ciclo 2016,MATEMÁTICA (CIENCIAS BASICAS),13001,1,4,1,1ra. convocatoria
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20988,QUIMICA I (11001),71,71.0,6,1601,Primer Ciclo 2016,QUÍMICA (CIENCIAS BASICAS),13001,1,4,1,1ra. convocatoria
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,312,INGLES 1,A,,0,1602,Interciclo 2016,,13001,1,0,5,Suficiencia
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,314,INGLES 2,A,,0,1602,Interciclo 2016,,13001,1,0,5,Suficiencia
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,316,INGLES 3,A,,0,1602,Interciclo 2016,,13001,1,0,5,Suficiencia
16,19116,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,82.86,81.93,7,80.13999938964844,79.16999816894531,51,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,318,INGLES 4,A,,0,1602,Interciclo 2016,,13001,1,0,5,Suficiencia
