anio,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),97,97.0,4,1701,Primer Ciclo 2017,,13001,1,22.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),76,76.0,4,1701,Primer Ciclo 2017,,13001,1,22.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,312,INGLES 1,A,,0,1701,Primer Ciclo 2017,,13001,6,,5,Suficiencia
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,314,INGLES 2,A,,0,1701,Primer Ciclo 2017,,13001,6,,5,Suficiencia
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,316,INGLES 3,A,,0,1701,Primer Ciclo 2017,,13001,6,,5,Suficiencia
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,318,INGLES 4,A,,0,1701,Primer Ciclo 2017,,13001,6,,5,Suficiencia
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,320,INGLES 5,A,,0,1701,Primer Ciclo 2017,,13001,6,,5,Suficiencia
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,322,INGLES 6,A,,0,1701,Primer Ciclo 2017,,13001,6,,5,Suficiencia
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21207,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS (11001),80,80.0,2,1701,Primer Ciclo 2017,INFORMÁTICA (INGENIERÍA APLICADA),13001,1,2.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20995,INTRODUCCION A LA PROGRAMACION (11001),71,71.0,6,1701,Primer Ciclo 2017,PROGRAMACIÓN (CIENCIAS DE INGENIERIA),13001,1,2.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20987,MATEMATICA I (11001),82,82.0,6,1701,Primer Ciclo 2017,MATEMÁTICA (CIENCIAS BASICAS),13001,1,2.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20988,QUIMICA I (11001),77,77.0,6,1701,Primer Ciclo 2017,QUÍMICA (CIENCIAS BASICAS),13001,1,2.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21208,MATEMATICA DISCRETA I (11001),70,70.0,4,1702,Interciclo 2017,CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA),13001,1,1.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20990,MATEMATICA II (11001),81,81.0,4,1702,Interciclo 2017,MATEMÁTICA (CIENCIAS BASICAS),13001,1,7.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20992,CALCULO I (11001),73,73.0,6,1703,Segundo Ciclo 2017,MATEMÁTICA (CIENCIAS BASICAS),13001,1,8.0,1,1ra. convocatoria
17,71317,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,87.5,87.5,4,81.87000274658203,80.97000122070312,31,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20994,FISICA I (11001),77,77.0,6,1703,Segundo Ciclo 2017,FÍSICA (CIENCIAS BASICAS),13001,1,6.0,1,1ra. convocatoria
