"No_Sede","Sede","No_Facultad","Facultad","No_Carrera","Carrera","No_curso","Nombre_Curso","Nota","Nota_Calculo_Prom","Creditos","No_ciclo","Nombre_Ciclo","Eje","No_pensum","No_jornada","No_seccion_fac","No_tip_examen","Tipo_Examen"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000336","ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI)","87","87","4","1801","Primer Ciclo 2018",NA,"18001","01","26","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000338","ESTRATEGIAS DE RAZONAMIENTO (CFI)","76","76","4","1801","Primer Ciclo 2018",NA,"18001","01","26","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000312","INGLES 1","A",NA,"0","1801","Primer Ciclo 2018",NA,"18001","06",NA,"05","Suficiencia"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000314","INGLES 2","A",NA,"0","1801","Primer Ciclo 2018",NA,"18001","06",NA,"05","Suficiencia"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000316","INGLES 3","A",NA,"0","1801","Primer Ciclo 2018",NA,"18001","06",NA,"05","Suficiencia"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000318","INGLES 4","A",NA,"0","1801","Primer Ciclo 2018",NA,"18001","06",NA,"05","Suficiencia"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000320","INGLES 5","A",NA,"0","1801","Primer Ciclo 2018",NA,"18001","06",NA,"05","Suficiencia"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020976","INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS","97","97","2","1801","Primer Ciclo 2018",NA,"18001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020295","INTRODUCCIÓN A LA PROGRAMACIÓN","73","73","6","1801","Primer Ciclo 2018","QUIMICA (CIENCIAS BASICAS)","18001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020700","MATEMATICA I","72","72","6","1801","Primer Ciclo 2018","MATEMATICA (CIENCIAS BASICAS)","18001","01","06","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021000","QUIMICA I","58","58","6","1801","Primer Ciclo 2018","QUÍMICA (CIENCIAS BASICAS)","18001","01","06","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021000","QUIMICA I","65","65","6","1801","Primer Ciclo 2018","QUÍMICA (CIENCIAS BASICAS)","18001","01","06","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020650","MATEMATICA DISCRETA I","81","81","4","1802","Interciclo 2018","CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA)","18001","01","01","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020706","MATEMATICA II","56","56","4","1802","Interciclo 2018","MATEMÁTICA (CIENCIAS BASICAS)","18001","01","05","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020706","MATEMATICA II","65","65","4","1802","Interciclo 2018","MATEMÁTICA (CIENCIAS BASICAS)","18001","01","05","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020077","CALCULO I","49","49","6","1803","Segundo Ciclo 2018","MATEMATICA (CIENCIAS BASICAS)","18001","01","10","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020077","CALCULO I","52","52","6","1803","Segundo Ciclo 2018","MATEMATICA (CIENCIAS BASICAS)","18001","01","10","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020077","CALCULO I","59","59","6","1901","Primer Ciclo 2019","MATEMATICA (CIENCIAS BASICAS)","18001","01","03","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020077","CALCULO I","65","65","6","1901","Primer Ciclo 2019","MATEMATICA (CIENCIAS BASICAS)","18001","01","03","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021013","FISICA I","53","53","6","1803","Segundo Ciclo 2018","FISICA (CIENCIAS BASICAS)","18001","01","08","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","021013","FISICA I","41","41","6","1803","Segundo Ciclo 2018","FISICA (CIENCIAS BASICAS)","18001","01","08","02","2da. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","000378","MAGIS LANDIVARIANO (CFI)","87","87","2","1803","Segundo Ciclo 2018",NA,"18001","01","22","01","1ra. convocatoria"
"01","CAMPUS CENTRAL","02","INGENIERÍA","08","LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS","020651","MATEMATICA DISCRETA II","50","50","4","1803","Segundo Ciclo 2018","CIENCIAS DE LA COMPUTACIÓN (CIENCIAS DE INGENIERIA)","18001","01","02","01","1ra. convocatoria"
